0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Great app replacement full course.,Does not teach grammar well kind of pick it.,Software solid I have noticed problems.,I am taking Japanese course app frequently throws kanji never shown expects know it.,And let move on.,Luckily I use another app look up I rely outside sources use Duolingo.,,,,,,,,,
This good app overall frequent changes.,One thing I am still sold stories.,I like them placement overall like course weird they are often places make since vocabulary use vs vocabulary that is learned.,Also recently something changed volume varies dramatically within lesson.,,,,,,,,,,,
I really enjoy lessons work well gamification bit much me.,For example routine weekends include DuoLingo app treats crisis Oh no streak No I want buy freeze every time.,I also need interrupted congratulated lesson going well open fifty chests track four different currencies whatever time I finish lesson.,I get helps many I want lessons.,,,,,,,,,,,
I given Duo five stars I take one at LEAST away new format.,It HUGE MISTAKE giant leap backwards original layout.,If matter appearance I care makes learning SO MUCH MORE DIFFICULT.,Instead one lesson different topics reinforcing lessons practice complete whole unit small amount repetitious new material lose track stuff.,,,,,,,,,,,
Overall duolingo fun way get used language.,I use way learn language gamifying keeps going years I have definitely seen imrovement.,I appreciate app stand still tries improve well though sometimes process frustrating chance used like app.,Overall good app.,,,,,,,,,,,
Please improve screen real estate Mandarin.,I currently zooming see writing.,Please check feedback comments turned off.,Also review errors feedback button questions.,I am final purple level.,It getting monotonous wish could vary keep interesting.,Please add stories something legendary level.,,,,,,,,
To honest good app .,Makes easy make jump ahead gives time understand .,Makes learning fun .,Helps learn languages fun happy away.,Cons .,Some things learn confuse .,Too many expensive things.,example hearts.,You free make mistakes without use money currency.,,,,,,
Very useful learning another language however I have found I have made mistakes I cannot understand certain characters saying....it nice button option swap voice hard hear correctly.,I have also times I speaking ones hitting buttonto skip would pop next one already incorrect I get perfect score.,,,,,,,,,,,,,
There ads is not aggravating cuz earn gems watching them every ill earn xp look leaderboard much before I competitive could big part it.,And duolingo Is helpful teaches language lessons easy fun way I recommended several family friends use also love itsmiling face smiling eyes,,,,,,,,,,,,,
Overall great app easy use along fun.,However caveats every good app does.,First off and I mean going three years worth learning streak feel like burden here is long keeping streak Secondly getting gems grueling job.,.,,,,,,,,,,,
This overall fine app constantly bombards notifications emails way choose ones actually need.,Otherwise fine good way start learning language use fresh taking class language really good sole teacher alone teaches words good showing use them.,,,,,,,,,,,,,
I have Duolingo Czech daily months since moving Prague.,It is certainly better nothing quite frustrating focus things like certain animals Bears first basic numbers telling time directions days week colors food beyond applespears etc.,I would appreciate encountering vocabulary sooner would much helpful daytoday.,I also miss feature skip lesson groups circles instead entire units.,,,,,,,,,,,
Generally enjoyable way learn Italian.,The competitive nature Super Duolingo program little disconcerting I want leisurely learning fun without deadline ahead.,I understand trying motivate finish course I sometimes find annoying receive word I dropped top ten similar messages.,I also unsure go finishing lessons trying legendary challenges.,,,,,,,,,,,
The app great good way keep learning language every day.,However I bug Japanese lessons annoying deal with The pronunciation option really buggy.,Sometimes I turn off come back app later might start showing pronunciation even though off I turn again.,Sometimes romanized pronunciation shows I Japanese selected.,I hope issues addressed.,Great app,,,,,,,,,
It is great far.,Having problems technical side app.,It runs great crashed days I have used it.,However there is problems learning.,I am Spanish course many times reads sentence words audible.,When reading words like de un una small ones drowned out.,The way catch using button slow down.,It also teach grammar well.,,,,,,,
Some things I really enjoy app fact free with limited features still I think learning style good research behind it.,The competitiveness helps me compete learners.,The things bother grammatical explanations I am leaning Chinese sometimes misspellings seemingly confusing teaching two pronunciations word explanation.,,,,,,,,,,,,
I like app lot.,I am confident I am learning Spanish app mostly rote memorization grammar rules sentence structures requires speak really care I say words correctly tone rhythm correct.,I say words almost however I want long sound close.,I would need immersion Spanish speakers know working.,,,,,,,,,,,
I loved Duolingo worked recent update layout points system etc..,The previous layout made easier seecontrol lessons I accomplished ones I needed practice.,This one mess excessive scrolling.,It is easy drop league now.,Goals helped before I am motivated achievements anymore changes.,I am motivated pace progress competition.,I might ditch streak month,,,,,,,,
I using learn German French well revisit school days Spanish.,It is solid far teaching aspect goes albeit little repetitive unless go looking it offer much way grammatical explanation get something wrong several times.,But I enjoy using I certainly learning fair bit languages.,,,,,,,,,,,,
I use app combination speaking girlfriend fluent Spanish speaker I think results great I learned lot vocabulary grammar I able tune general grammar program colloquial usage inperson practice.,My reservation I longer practice section I want.,The format changed single learing path makes difficult pick choose useful lessons.,,,,,,,,,,,,
I used Duolingo past liked much.,The repetition really helps.,I look guide books I start unit.,I think need beef way learning trial error.,When I make mistake tip pops up.,I wish way save information review later.,If time crunch hard stop write information mistake occurs.,I purchased textbooks dictionaries.,,,,,,,
